instance,n,v,objective,bf_optimum,lp_lb,lp_ratio,milp_value,milp_status,milp_time_ms,sound,milp_matches_bf
problems/1_3/1_1767711946895.json,3,1,PRICE,2525.008568,663.070479,0.262601,2525.008568,OPTIMAL,40,true,true
problems/1_3/2_1767711946895.json,3,1,DISTANCE,1358.886797,1097.667744,0.807770,1358.886797,OPTIMAL,4,true,true
problems/1_3/2_1767711946895.json,3,1,PRICE,3489.581213,2818.778391,0.807770,3489.581213,OPTIMAL,4,true,true
problems/1_3/3_1767711946895.json,3,1,DISTANCE,1549.106869,1054.149427,0.680489,1549.106869,OPTIMAL,41,true,true
problems/1_3/3_1767711946895.json,3,1,PRICE,2466.052113,1678.120130,0.680489,2466.052113,OPTIMAL,36,true,true
problems/1_3/4_1767711946895.json,3,1,DISTANCE,1689.237059,1366.421620,0.808899,1689.237059,OPTIMAL,9,true,true
problems/1_3/4_1767711946895.json,3,1,PRICE,3685.715637,2981.370496,0.808899,3685.715637,OPTIMAL,9,true,true
problems/1_3/5_1767711946895.json,3,1,DISTANCE,2066.607521,1474.967084,0.713714,2066.607521,OPTIMAL,39,true,true
problems/1_3/5_1767711946895.json,3,1,PRICE,3267.786360,2332.265449,0.713714,3267.786360,OPTIMAL,37,true,true
problems/1_3/6_1767711946895.json,3,1,DISTANCE,1207.474263,1131.088134,0.936739,1207.474263,OPTIMAL,12,true,true
problems/1_3/6_1767711946895.json,3,1,PRICE,2468.912352,2312.726283,0.936739,2468.912352,OPTIMAL,11,true,true
problems/1_3/7_1767711946895.json,3,1,DISTANCE,1070.999514,780.178645,0.728458,1070.999514,OPTIMAL,16,true,true
problems/1_3/7_1767711946895.json,3,1,PRICE,1901.412084,1385.099696,0.728458,1901.412084,OPTIMAL,15,true,true
problems/1_3/8_1767711946895.json,3,1,DISTANCE,4208.567234,3205.686490,0.761705,4208.567234,OPTIMAL,23,true,true
problems/1_3/8_1767711946895.json,3,1,PRICE,9806.865662,7469.938109,0.761705,9806.865662,OPTIMAL,32,true,true
problems/1_3/9_1767711946895.json,3,1,DISTANCE,3411.222240,2906.806308,0.852130,3411.222240,OPTIMAL,13,true,true
problems/1_3/9_1767711946895.json,3,1,PRICE,7624.889858,6497.400748,0.852130,7624.889858,OPTIMAL,13,true,true
problems/1_4/0_1767711946895.json,4,1,DISTANCE,1665.382685,1337.405678,0.803062,1665.382685,OPTIMAL,44,true,true
problems/1_4/0_1767711946895.json,4,1,PRICE,3783.941747,3038.740120,0.803062,3783.941747,OPTIMAL,42,true,true
problems/1_4/1_1767711946895.json,4,1,DISTANCE,1973.469349,1473.634274,0.746723,1973.469349,OPTIMAL,27,true,true
problems/1_4/1_1767711946895.json,4,1,PRICE,5564.008261,4154.771026,0.746723,5564.008261,OPTIMAL,27,true,true
problems/1_4/2_1767711946895.json,4,1,DISTANCE,3239.588278,2373.731130,0.732726,3239.588278,OPTIMAL,292,true,true
problems/1_4/2_1767711946895.json,4,1,PRICE,4876.189268,3572.911515,0.732726,4876.189268,OPTIMAL,227,true,true
problems/1_4/3_1767711946895.json,4,1,DISTANCE,1489.373037,1058.378517,0.710620,1489.373037,OPTIMAL,155,true,true
problems/1_4/3_1767711946895.json,4,1,PRICE,3596.828493,2555.978868,0.710620,3596.828493,OPTIMAL,188,true,true
problems/1_4/4_1767711946895.json,4,1,DISTANCE,1183.708129,917.963613,0.775498,1183.708129,OPTIMAL,14,true,true
problems/1_4/4_1767711946895.json,4,1,PRICE,3287.933917,2549.787085,0.775498,3287.933917,OPTIMAL,13,true,true
problems/1_4/5_1767711946895.json,4,1,DISTANCE,1830.039483,1360.074237,0.743194,1830.039483,OPTIMAL,12,true,true
problems/1_4/5_1767711946895.json,4,1,PRICE,2760.335957,2051.464930,0.743194,2760.335957,OPTIMAL,12,true,true
problems/1_4/6_1767711946895.json,4,1,DISTANCE,1534.497638,641.644936,0.418147,1534.497638,OPTIMAL,337,true,true
problems/1_4/6_1767711946895.json,4,1,PRICE,4153.253550,1736.668758,0.418147,4153.253550,OPTIMAL,308,true,true
problems/1_4/7_1767711946895.json,4,1,DISTANCE,2304.625070,2077.249584,0.901339,2304.625070,OPTIMAL,110,true,true
problems/1_4/7_1767711946895.json,4,1,PRICE,3930.437486,3542.658517,0.901339,3930.437486,OPTIMAL,93,true,true
problems/1_4/8_1767711946895.json,4,1,DISTANCE,2622.995581,2622.995581,1.000000,2622.995581,OPTIMAL,5,true,true
problems/1_4/8_1767711946895.json,4,1,PRICE,3662.854764,3662.854764,1.000000,3662.854764,OPTIMAL,4,true,true
problems/1_4/9_1767711946895.json,4,1,DISTANCE,3115.868570,1902.498487,0.610584,3115.868570,OPTIMAL,338,true,true
problems/1_4/9_1767711946895.json,4,1,PRICE,7656.030492,4674.647245,0.610584,7656.030492,OPTIMAL,390,true,true
problems/1_5/0_1767711946895.json,5,1,DISTANCE,1987.875908,1514.077546,0.761656,1987.875908,OPTIMAL,54,true,true
problems/1_5/0_1767711946895.json,5,1,PRICE,4130.291641,3145.861272,0.761656,4130.291641,OPTIMAL,38,true,true
problems/1_5/1_1767711946895.json,5,1,DISTANCE,2209.702184,1619.885222,0.733079,2209.702184,OPTIMAL,356,true,true
problems/1_5/1_1767711946895.json,5,1,PRICE,3935.219919,2884.825221,0.733079,3935.219919,OPTIMAL,637,true,true
problems/1_5/2_1767711946895.json,5,1,DISTANCE,2256.841224,1807.451813,0.800877,2256.841224,OPTIMAL,52,true,true
problems/1_5/2_1767711946895.json,5,1,PRICE,3264.641811,2614.575937,0.800877,3264.641811,OPTIMAL,60,true,true
problems/1_5/3_1767711946895.json,5,1,DISTANCE,1719.511927,689.164919,0.400791,1719.511927,OPTIMAL,3679,true,true
problems/1_5/3_1767711946895.json,5,1,PRICE,3487.608410,1397.802090,0.400791,3487.608410,OPTIMAL,5602,true,true
problems/1_5/4_1767711946895.json,5,1,DISTANCE,2238.639883,1738.708167,0.776681,2238.639883,OPTIMAL,76,true,true
problems/1_5/4_1767711946895.json,5,1,PRICE,3269.030754,2538.992767,0.776681,3269.030754,OPTIMAL,114,true,true
problems/1_5/5_1767711946895.json,5,1,DISTANCE,4134.021786,2800.919155,0.677529,4134.021786,OPTIMAL,748,true,true
problems/1_5/5_1767711946895.json,5,1,PRICE,8983.827887,6086.802855,0.677529,8983.827887,OPTIMAL,707,true,true
problems/1_5/6_1767711946895.json,5,1,DISTANCE,3550.795682,2615.684185,0.736647,3550.795682,OPTIMAL,1764,true,true
problems/1_5/6_1767711946895.json,5,1,PRICE,5179.415929,3815.402953,0.736647,5179.415929,OPTIMAL,2094,true,true
problems/1_5/7_1767711946895.json,5,1,DISTANCE,3295.455487,1916.565253,0.581578,3295.455487,OPTIMAL,2500,true,true
problems/1_5/7_1767711946895.json,5,1,PRICE,6733.532264,3916.075947,0.581578,6733.532264,OPTIMAL,3009,true,true
problems/1_5/8_1767711946895.json,5,1,DISTANCE,1880.816873,1188.185628,0.631739,1880.816873,OPTIMAL,16,true,true
problems/1_5/8_1767711946895.json,5,1,PRICE,5463.943609,3451.787021,0.631739,5463.943609,OPTIMAL,13,true,true
problems/1_5/9_1767711946895.json,5,1,DISTANCE,3997.083237,3109.293884,0.777891,3997.083237,OPTIMAL,583,true,true
problems/1_5/9_1767711946895.json,5,1,PRICE,6043.863554,4701.465260,0.777891,6043.863554,OPTIMAL,621,true,true
problems/1_6/0_1767711946895.json,6,1,DISTANCE,4366.533704,3295.006528,0.754605,4366.533704,OPTIMAL,10128,true,true
problems/1_6/0_1767711946895.json,6,1,PRICE,11462.760442,8649.852045,0.754605,11462.760442,OPTIMAL,8895,true,true
problems/1_6/1_1767711946895.json,6,1,DISTANCE,2596.733150,1402.514317,0.540107,2596.733150,OPTIMAL,873,true,true
problems/1_6/1_1767711946895.json,6,1,PRICE,6898.763868,3726.072159,0.540107,6898.763868,OPTIMAL,807,true,true
problems/1_6/2_1767711946895.json,6,1,DISTANCE,2632.355820,2097.944932,0.796984,2632.355820,OPTIMAL,244,true,true
problems/1_6/2_1767711946895.json,6,1,PRICE,6361.840286,5070.283616,0.796984,6361.840286,OPTIMAL,245,true,true
problems/1_6/3_1767711946895.json,6,1,DISTANCE,3980.438300,3178.383465,0.798501,3980.438300,OPTIMAL,733,true,true
problems/1_6/3_1767711946895.json,6,1,PRICE,11119.114108,8878.622344,0.798501,11119.114108,OPTIMAL,876,true,true
problems/1_6/4_1767711946895.json,6,1,DISTANCE,1515.502763,1051.797595,0.694026,1515.502763,OPTIMAL,130,true,true
problems/1_6/4_1767711946895.json,6,1,PRICE,2565.678576,1780.646411,0.694026,2565.678576,OPTIMAL,118,true,true
